Fax,Tel,loc2,Manager,loc1,Address
017 - 712 2820,017 - 712 2100,STANDERTON,MARALOE BROODRYK,SECUNDA,PIET RETIEF STR
023-5711030,023-5711030,SUTHERLAND,Vacant,UPINGTON,Piet Retief str.
049-5621730,049-8431011,NOUPOORT,VACANT,KIMBERLY,PIET RETIEFSTREET  NOUPOORT
031-7006479,031-7006479,CAVERSHAM GLEN,Karen Dumbleton,HIGHWAY,"Pineridge Kwikspar, Marianridge"
,034 - 3182518,BARRY HERTZOG PARK,LENIE STEENKAMP,NORTHERN NATAL,PIONEER PARK SHOPPING CENTRE FRIKKIE MEYER AVENUE
014-7850257,014-7850037,Zondereinde,Vacant,POTGIETERSRUS,Platinum Reef
051-5261131,051-5261131,WIEGANDIA,MOTHY KOSANA,BLOEMFONTEIN,PLOT 12 SONSKYN
011-979-4163,011-9794162,BREDELL,M PITA,EAST RAND,PLOT 97 3RD AVE BREDELL 1623
054-4510119,054-4510119,AUGRABIES,Corrie Esterhuizen,UPINGTON,Plot nr. 417
011-362-3980,011-8156222,SPRINGS,P LABUSHAGNE,EAST RAND,POSKANTOOR DRIVE SPRINGS 1560
051-5325641,051-5321132,RAMAHUTSI,CALLIE MOHOKARE,BLOEMFONTEIN,POST MASTER RAMAHUTSI
015 962 3114,015 962 3275,Thohoyandou,STEPHEN MULAUDZI,THOHOYANDOU,POST OFFICE STREET
015 9632207,015 963 2001,Sibasa,RACHEL TSHISIKULE,THOHOYANDOU,POST OFFICE STREET
018 644 0303,018-6440411,SLURRY,MICHELLE LOKAILWE,VRYBURG,PPC SLURRY
051-4368253,051-4366718,DANHOF,ACT. CYNTHIA KHOMO,BLOEMFONTEIN,PRELLER SQUARE DAN PIENAAR
017 - 846 9411,017 - 846 9411,AMSTERDAM,CHRISTINE GUIHONGWE,SECUNDA,PRESIDENT STR
053-433 0272,053-4331098,BLOEMHOF,DANIEL MONAGENG,VRYBURG,PRINCE STREET
011-980-3507,011-9803701,PROTEA GARDENS,X. Khumalo,SOUTH WEST RAND,"PROTEA GARDENS SHOPPING CENTRE, C/O OLD POTCH & ALEKHINE STR."
011-980-2627,011-9802695,PROTEA NORTH,L. Shai,SOUTH WEST RAND,"PROTEA POINT SHOPPING CENTRE, PROTEA NORTH"
012-3277459,012-3277453,QUAGGA RPO,DR Dreyer,PRETORIA,Quagga Sentrum Pretoria West
013-2670772,013-2670770,Boleo,Bauny au,WITBANK,R&R Buy Rite Main Road
034 - 6511044,034 - 6511622,WASBANK,RIKA ANNANDALE,NORTHERN NATAL,RADEMEYERSTREET WASBANK
013-2309626,013-2309105,Steelpoort,Aaron Moyane,NELSPRUIT,"Radium Avenue, Steelpoort"
0145582703,014 5582703,Tsitsing,VACANT,RUSTENBURG,RAKHUDU SECTION
015-5262746,015-5262746,RAMOKGOPA,LEFOFANA,PIETERSBURG,RAMAKGOPA FARM
027 4821112,027 4821112,Clanwilliam,Vlos Volschenk,WEST COAST,RAMSKOP SUPERMARKET
011-660-9422,011-6609500,RANT-EN-DAL,"H, Botha",SOUTH WEST RAND,"RANT EN DAL SPAR, CECIL KNIGHT ST RANT EN DAL 1751"
014 5664684,014 5665052,Luka,VACANT,RUSTENBURG,RATHIBEDI SECTION
051-5341121,051-5341069,BOTSHABELO,MAVIS NYOKONG,BLOEMFONTEIN,REA HOLA SHOPPING COMPLEX MAIN STREET
047-5530557,047-5530035,REDOUBT,VACANT,UMTATA,REDOUBT LOC.
021-4342959,021-4342315/434,Sea Point,Omar Burton,PENINSULA,"REGENT PLACE, MAIN RD, SEA POINT, 8001"
051-4324451,051-4324451,HEIDEDAL,NICOLENE VORSTER,BLOEMFONTEIN,REMBRANDT CRESCENT
035-7723679,035-7723679,CENTRAL PARK,Sarah Gwambe,ZULULAND,Rex Henderson Str.
041-3673336,041-3673050,EMERALD HILL,Zibaya N,PORT ELIZABETH,"Rhodes Street, Mt Pleasant"
021-945 3929,021-9453900,Bellville,Vacancy,WEST COAST,RHOS ST
047-4891029,047-4891212,IDUTYWA,T. Nomandla,EAST LONDON,"RICHARDSON ROAD,"
053-7232002,053-7232002,KATHU,Johny Mouton,UPINGTON,Rietbok str.
014-7721802,014-7771300,Thabazimbi,Barend Schlebusch,POTGIETERSRUS,Rietbokstreet 2
041-3632702,041-3630765,GREENACRES,Fourie LS,PORT ELIZABETH,"Ring Road, Greenacres"
016- 982-2568,016-9325090,PARK SOUTH,SM Conradie,EAST VAAL,"RIVERSIDE BOULEVARD, C/O FRIKKIE MEYER & CHOPIN, VANDERBIJLPARK"
021-6865767,021-6865504/5,Rondebosch,Arthur Williams,PENINSULA,"RIVERSIDE SHOPPING CENTRE, MAIN RD, RONDEBOSCH, 7700"
011-807-7389,011-8070666,RIVONIA,Bheki Mhlongo,NORTH WEST RAND,"RIVONIA SQUARE, RIVONIA 2128"
045-967 0570,045-967 0050 /,MOLTENO,rotate from Cradock,MIDLANDS,"Robinson-Piet Retief, Molteno, 5500"
011-435-0338,011-4350337,Rosettenville,Gerber MS,CENTRAL,"ROSETTENVILLE SHOPPING CENTRE,592 GERANIUM STR"
014 5671557,014 5671931,Bleskop,JOSIAS MPE,RUSTENBURG,RPM MINE B HOSTEL
014-7860162,014-7840121,Northam,Moses Modimakwane,POTGIETERSRUS,Ruby road
011-268-1042,011-2681043,NORTHLANDS,Raymond Naidoo,NORTH WEST RAND,RUDD RD ILLOVO 2196
011-958-1381,011-9581438,RUIMSIG,Abel Silaule,NORTH WEST RAND,"RUIMSIG BOULEVARD, C/O DOREEN & HENDRIK POTGIETER STR"
046-624 1551,046-624 2689,NELSON MANDELA,rotate from Port Alfred,MIDLANDS,"Runeli Drive, Nelson Mandela, 6173"
011-969-1146,011-9692152,RYNFIELD,H A LLOYD,EAST RAND,RYNFIELD SUPERSPAR PRETORIA RYNFIELD
021-8867523,021-8867521,Die Boord,Barry Thomas,OVERERG,"Safraan Avenue, Vinyard Shopping Centre,"
057-3575530,057-3522466,EERSTEMYN,MADELEEN ACRON,BLOEMFONTEIN,SAINTS SPAR WELKOM
021-361-7113,021-361-0108,Nonkqubela,Valencia Mashia,OVERERG,Sanlam Centre Nonkqubela
011-783-7690,011-7833511/282,BENMORE,Muriel George,NORTH WEST RAND,"SANLAM CENTRE, LOWER LEVEL, C/O PRETORIA & SENTRUM"
014-5440076,014-5440076,SWARTRUGGENS,COETZER CM,POTCHEFSTROOM,SAREL CILLIERS
014 5663790,014 5663790,Phokeng,REBECCA LEFYINE,RUSTENBURG,SARON SECTION
013-7810314,013-7810003,Shongwe Mission,Vacant,NELSPRUIT,Schoemansdal Village
015-3553161,015-3553161,SHILUVANE,MAPONYA,PIETERSBURG,"SCHOOL ROAD, NEXT TO HOSPITAL"
013-2601926,013-2601011,Sekhukhune,Vacant,NELSPRUIT,Schoon Oord Village
015-7830660,015-7830110,LULEKANI,SEKGOBELA J A,PIETERSBURG,SCORE SHOPPING CENTRE
015-5010110,015-5010141,DENDRON,MOLELE PP,PIETERSBURG,"SCORE SUPERMARKER, 78 REPUBLIC ROAD"
012-7995044,012-7995045,SOSHANGUVE WEST,DK Molefe,PRETORIA,Score Supermarket Nafcoc Shopping centre
013-9851348,013-9850039,Moteti,Michael Mohamme,WITBANK,Score Supermarket Top Spot Garage
044-6202797,044-6202201,Great Brak River,B Harker,SOUTH CAPE,Searle Street Great Brak River
016- 592-5274,016- 5929331,MASOHENG,CN Mbongo,EAST VAAL,"SEBOKENG SHOPPING CENTRE, OLD POTCH ROAD"
011-363-1304,011-8184598,SELCOURT,T VAN ZYL,EAST RAND,"SELCORT FRIENDLY GROCER , NIGEL ROAD SELCOURT 1567"
015-6340010,015-6340010,MPHAHLELE,MATHELELE E,PIETERSBURG,SELETENG
039-3150688,039-3150688,SHELLY BEACH,Magda Smit,HIGHWAY,"Sentra Stores, Marine Drive, Shelly Beach"
016-429 3511,016- 4293511,SONLANDPARK,H Basson,EAST VAAL,"SENTRA, MAJUBA ST SONLANDPARK 1944"
053-7511512,053-7511512,SANTOY,Christa Esterhuizen,UPINGTON,Sering avenue
011-943-4011,011-9432305,Kibler Park,Van Der Heever M.Q,CENTRAL,SERVICE ST 1 KIBLER PARK 2091
058-7130329,058-7135633,Witsieshoek,Joël Komane,BETHLEHEM,"Setsing Civic Centre, Witsieshoek"
021-391-2030,021-392-3141,Mitchells Plain,Denver Oliver,OVERERG,Seventh Avenue Mitchell's Plain
012-8053643,012-8054215,MAMELODI,TP Moruwe,PRETORIA,Shabangu Street 6886 Block T Mamelodi West
015-5050131,015-5050131,MANTHATA,MASOHO SJ.,PIETERSBURG,"SHALALA'S SUPERMARKET, NEW STAND, BOCHUM"
011-828-5567,011-8281471/195,PRIMROSE,GM Scheepers,EAST VAAL,SHAMROCK ST 39 PRIMROSE 1401
,,SHAWBURY,VACANT,UMTATA,SHAWBURY LOC
015 964 3767,015 964 3737,Shayandima,BETHUEL MUKHATHI,THOHOYANDOU,SHAYANDIMA MAIN ROAD
040-8422070,040-8422083,WHITTLESEA,N.F. Mzamo (Acting),EAST LONDON,SHEPSTONE STREET WHITTLESEA
033-2124066,033-2122392,RICHMOND,Charity Mayeza,MIDLANDS,"Shepstone Street, Richmond, 3780"
031-563 0972,031-563 7717,HYPER BY THE SEA,Wayko Singh,PORT NATAL,"Shop , 76, Pick-a-Pay, Hypermarket, Prospect Hall Road, Durban North, 4051"
035-7894538,035-7894755,RICHARDS BAY,Andrew Killick,ZULULAND,"Shop 1-2 Checkers Centre, Bullion Boulevard"
033-7012507,033-7011854,UNDERBERG,Mary-Ann Smith,MIDLANDS,"Shop 1, Highlander Centre, Main Rd, Underberg, 3257"
033-5012054,033-5011627,DALTON,Matthew Ackermann,MIDLANDS,"Shop 1, Spar Shop Complex, Old Main Rd, Dalton, 3236"
021-6921381,021-6921381/691,Hanover Park,Daniel Muller,PENINSULA,"SHOP 10, TOWN CENTRE, HANOVER PARK, 7780"
012-6634175,021-6631944,CENTURION,S Mabasa,PRETORIA,Shop 109 Centurion Mall Embarkment Street
021-7887909,021-7882675,Muizenberg,David Meinking,PENINSULA,"SHOP 11, SHOPRITE CENTRE, ATLANTIC BEACH RD, MUIZENBERG, 7945"
011-659-0759,011-6590636,LANSERIA,Cariena Grunenberg,NORTH WEST RAND,"SHOP 12, HERTFORD JUCTION, HANS STRIJDOM ROAD, LANSERIA"
011-880-8434,011-4477198,Saxonwold,Scott LR,CENTRAL,"SHOP 12/13, MALL OF ROSEBANK, C/O CRADOCK & BIERMAN"
033-3913132,033-3913131,KHAN ROAD,Camie Smith,MIDLANDS,"Shop 13, Truro Plaza, Khan Rd, Northdale, 3201"
021-7090017,021-7090016,Capricorn Square RPO,Brendan Bredenkamp,PENINSULA,"SHOP 14, CAPRICORN PARK, PRINCE GEORGE DR, CAPRICORN SQ, 7945"
012-4600104,012-4608525,MONUMENT PARK,S Beukes,PRETORIA,Shop 15 73 Skilpad Rd Monument Park Centre
013-9478180,013-9478177,Kwa-Mhlanga,Andries Mokoti,WITBANK,Shop 15a Cross Road Plaza
035-5731293,035-5731071,MKUZE,Bongani Sibiya,ZULULAND,Shop 16 Falcone Street
035-8313223,035-8310095,NONGOMA,Glen Mngomezulu,ZULULAND,Shop 19 Nongoma Plaza Main Street
035-8313223,035-8310996,NONGOMA CITIZENS P.O,Melusi Zulu,ZULULAND,Shop 19 Nongoma Plaza Main Street
012-3454255,012-3452438,ELARDUSPARK,L Mathebula,PRETORIA,Shop 2 Cnr Delmas and Barnard Street
044-8771257,044-8771257,Wilderness,Vacant,SOUTH CAPE,Shop 2 Palm Centre Milkwood Village Wilderness
056-2122711,056-2122711,Kroonpark,Jaco Pienaar,BETHLEHEM,"Shop 2, Panorma Plaza, Kroonpark"
018 2947568,018 2947574,RIVERWALK,FREDA ESTERHUIZEN,POTCHEFSTROOM,SHOP 20 RIVERWALK
021-362-6078,021-362-6222,Manyanani,Belinda Nyatela,OVERERG,Shop 20 Shoprite Centre Manayanani Makaza
011-614-8766,011-6140017,Kensington,Lottering A,CENTRAL,"SHOP 21, DARRAS CENTRE, UPPER LEVEL, KENSINGTON, 2101"
031-205 2717,031-206 0210,UMBILO,Matrina Mathonsi,PORT NATAL,"Shop 21, Queensmead Mall, 95 Teignmouth Road, Umbilo, 4001"
056-2121445,056-2121445,Kroonheuwel,Marléne Hamilton,BETHLEHEM,"Shop 21,Checkers Centre, Kroonheuwel"
032-4541383,032-4541383,SUNDUMBILI,Fred Buthelezi,ZULULAND,Shop 23 Sundumbili Plaza
021-7625829,021-7625757,Wynberg,Mishka Mayman,PENINSULA,"SHOP 23, WITHINSHAW SHOPPING CENTRE, MAIN RD, WYNBERG, 7800"
031-7091535,031-7091507,KINGS ROAD,Vicky Ntuli,HIGHWAY,Shop 251 Sanlam Centre
031-465 6017,031-465 5886,ROSSBURGH,Alan Chetty,PORT NATAL,"Shop 26, Southway Mall, Titren Road, Rossburgh, 4094"
021-4214756,021-4214551,Waterfront,Mark Heyns,PENINSULA,"SHOP 263, PIERS RD, WATERFRONT, 8001"
018-4627653,018 464 1313,KLERKSDORP,DOMINIC LETSOALO,POTCHEFSTROOM,SHOP 29 CITY MALL
018-4627653,018 464 1313,KLERKSDORP PENSIONS,DOMINIC LETSOALO,POTCHEFSTROOM,SHOP 29 CITY MALL
032-9462796,032-9462796,ZIMBALI,Ragini Govender,PORT NATAL,"Shop 29, Lifestyle Centre, Ballito,4420"
021-8510974,021-851-0972,Somerset-West,Joseph Thole,OVERERG,Shop 3 Habitat Street Somerset Mall
012-3681647,012-3681640,MENLYN CENTRAL,F Mohlala,PRETORIA,Shop 3/4 Menlyn Park Cnr Atterbury and Loius Street
031-207 1488,031-207 3335,OVERPORT,Craig de Palo,PORT NATAL,"Shop 310-312 Overport City, 430 Ridge Road, Overport, 4001"
031-201 1518,031-202 1000,MUSGRAVE ROAD,Barbara Mfusi,PORT NATAL,"Shop 315 Musgrave Centre, 115 Musgrave Road, Durban 4001"
317046715,031-7046715,KWANDENGEZI,Pricilla Mkhize,HIGHWAY,"Shop 4, Kwandengezi Shopping Centre, Kwandengezi"
012-3488238,012-3488205,LYNNWOOD RIDGE,A De Wet,PRETORIA,Shop 40 Lynnridge Mall
012-9917094,012-9917093,FAERIGLEN,G Mogotsi,PRETORIA,Shop 43 Glaen Village
031-2013840,031-2013840,BEREA ROADDURBAN,Pamela du Randt,PORT NATAL,"Shop 47, Berea Centre, 269 Berea Rosd, Durban, 4001"
021-557 0601,021-5572067,Bloubergrant,Brian Sumner,WEST COAST,"SHOP 57 BAYSIDE CENTRE, BAYSIDE MALL"
126546527,012-6546816,VALHALLA,AF Coetzer,PRETORIA,Shop 5A Kampbel Centre Broadway East Valhalla
012-4608178,012-3462454,BROOKLYN SQUARE,S Macheke,PRETORIA,Shop 69/70 Brooklyn Square Cnr Veale and Middle Street
012-6569116,012-6569115,RASLOUW,YW Van Wyk,PRETORIA,Shop 69A Cnr Rooihuiskraal and Redersburg Street
011-823-2615,011-8232637,BOKSBURG WEST,PRINS,EAST RAND,"SHOP 6A, THE SQUARE, RIETFONTEIN STREET, JANSEN PARK"
031-4673715,031-4673737 /46,BLUFF,AntoinetteWestraat,PORT NATAL,"Shop 9, Sanlam Centre, Tara Road, Bluff, 4036."
035-8700755,035-8700905,ULUNDI,Paul Zamisa,ZULULAND,"Shop C6, Ondini Plaza, King Dinuzulu Highway"
012-8057512,012-8057211,DENNEBOOM,NC Nzima,PRETORIA,Shop D12 Cnr Watloo and Tsamaya Rd Mamelodi Cross
021-7855372,021-7855375,Sunvalley,Dominique Gould,PENINSULA,"SHOP G29A, CNR BULLER LOUW DR & SUNNYDALE RD, LONGBEACH MALL, SUNVALLEY, 7985"
011-942-2132,011-9422131,Southgate,Botma O.M,CENTRAL,"SHOP L155, SOUTHGATE MALL, COLUMBINE AVE"
021-7129918,021-7122314,Tokai,Geralda Abrahams,PENINSULA,"SHOP LG4A, 16 TOKAI RD, BLUE ROUTE MALL, TOKAI, 7945"
041-3630755,041-3630758,THE BRIDGE,Nolakana C M,PORT ELIZABETH,"Shop M5, Greenacres Shopping Centre, Greenacres"
013-9860261,013-9830119 /14,Empumalanga,Klaas Matsetela,WITBANK,Shop No 8 Kwagga Plaza
013-2651005,013-2651006,Jane Furse,Phillip Mpanyane,NELSPRUIT,Shop no 9 Jane furse shopping Centre
014 5655065,014 5655800,Tlhabane,ANDY KGOMONTSHO,RUSTENBURG,SHOP NO. 1 TLHABANE COMPLEX
012 7026804,012 7026813,Central city,NOZIPHO NKALE,RUSTENBURG,SHOP NO. 22 CENTRAL CITY
014 5521196,014 5521173,Sun City,DAN RAPOO,RUSTENBURG,SHOP NO. 6 SUN VILLAGE
011-662-1560,011-6621560,MULDERSDRIF,C. Pieterse,SOUTH WEST RAND,"SHOP-A-TROLLEY SPAR, MULDERSDRIF, 1747"
011-410-3409,011-4106284,KAGISO,M. Pelser,SOUTH WEST RAND,SHOP5 KAGISO MALL KAGISO 1744
011-433-0469,011-4330468,Bertsham,Hadebe M.I,CENTRAL,"Shoprite Centre,Ridgeway Mall Rifle Range Road,Ridgeway 2091"
011-986-1084,011-9844426,TSHIAWELO,M. Thipanyane,SOUTH WEST RAND,SIBASA ST 989 TSIAWELO 1817
011-852-2177,011-8522180,LENASIA NORTH,P. Beukes,SOUTH WEST RAND,"SILAHEEN SHOPPING CENTRE, LENASIA X13"
012-5468060,012-5465967,ONDERSTEPOORT,J Modiselle,PRETORIA,Sir Srnot Tyler Road Onderstepoort
None,012-4017774,CORPORATESHOP,M Malatji,PRETORIA,Situated inside Head Office
013-9732106,013-9731102,Siyabuswa,Alice Lekganyane,WITBANK,Siyabuswa Shopping Complex
011-455-2839,011-4553744,Bedfordview,Booysen J,CENTRAL,SKEEN BOULEVARD 3 BEDFORDVIEW 2008
013-7355523,013-7355103,Skukuza,Vacant,NELSPRUIT,Skukuza Restcamp
033-3305655,033-3304600,HOWICK,Purity Mthethwa,MIDLANDS,"Somme Street, Howick, 3290"
013-7411772,013-7411763,Sonpark,Vacant,NELSPRUIT,Sonpark Shopping Centre Nelspruti
011-475-0910,011-4750910,STRUBENSVALLEI,Christo Steyn,NORTH WEST RAND,SPAR C/O FRED & HARRY ST STRUBENSVALLEI 1735
016-349-1152,016-3416273/4,HEIDELBERG,A HATTINGH,EAST RAND,"SPAR CENTRE, VOORTREKKER STR, HEIDELBERG"
051-4354461,051-4354461,KENWORTH,HENDRIK CHOANE,BLOEMFONTEIN,SPAR MOSHOESHOE RD
012-6535920,012-6535920,WIERDAPARK SOUTH,M Swart,PRETORIA,Spar Sentrum Thuins van Niekerk Street Wierdapark
022 9312251,022 9312583,Porterville,Vacancy,WEST COAST,SPAR SHOP 27 VOORTREKKER ST
041-3605130,041-3603025,SUNRIDGEPARK,"Act Sivela, L.",PORT ELIZABETH,"Spar Shopping Centre, Sunridge Park"
011-868-2277,011-8682234,BRACKENDOWNS,SW Motsoahae,EAST VAAL,"SPAR, ANDRIES ST. BRACKENDOWNS,1449"
011-867-2631,011-8676103,MEYERSDAL,VT Dippenaar,EAST VAAL,"SPAR, C/O HENNIE ALBERTS & MICHELLE DRIVE, MEYERSDAL, 1447"
039-6993148,039-6992408,HIBBERDENE,Precious Nxsana,HIGHWAY,"Spar, Hibberdene"
051-4369621,051-4369621,HEUWELSIG,JAN VAN ZYL,BLOEMFONTEIN,"SPAR,OGILTIE THOMPSON STREET HEUWELSIG"
017 - 779 0221,017 - 779 0221,GROOTVLEI,JUDY BOTHA,SECUNDA,SPRINGFIELD AVE.
011-866-9028,011-8669024,SPRUITVIEW,NB Radebe,EAST VAAL,SPRUITVIEW SPAR MOAGI ST SPRUITVIEW 1425
011-869-1444,011-8691468,ALBERTON-NOORD,RS Sibisi,EAST VAAL,"SQUEEZE-IN-SPAR, PIETER UYS ST. ALBERTON NOORD 1456"
041-4814826,041-812144,SALTVILLE,Comley C B,PORT ELIZABETH,"St Anne Street, Saltville"
031-9742605,039-9741439,UMZINTO,Sunjith Brigman,HIGHWAY,"St Patricks Rd, Umzinto"
035-5500010,035-5500019,MTUBATUBA,vacant,ZULULAND,St. Lucia Road
018-382 2133,018-3822133,RATSHIDI,MAPULE MATLHO,VRYBURG,STAD VILLAGE MONTSHIWA
021-6832536,021-6710243/671,Claremont,Derek Fisher,PENINSULA,"STADIUM ON MAIN, MAIN RD, CLAREMONT, 7700"
015-328 4343,015-3283503,GAKGAPANE,MASHAO NJ,PIETERSBURG,STAND 1695 NEXT TO POLICE STATION
017 - 685 2477,017 - 685 2418,EMBALENHLE,BETTY KUMALO,SECUNDA,STAND 2088 EMBALENHLE
013-7943055,013-7943394,Kanyamazane,Alex Mkhabela,NELSPRUIT,"Stand 2234, Main Road, Kanyamazane"
016-451-4820,016- 4514820/24,SHARPEVILLE,PJ Mbongo,EAST VAAL,STAND 3880 A SHARPVILLE 1933
013-7730048,013-7730048,Thulamahashe,Vacant,NELSPRUIT,Stand 931 A Thulamahashe
013-7960113,013-7960113,Kabokweni,Patrick Thomo,NELSPRUIT,Stand No 1201 Kabokweni
012 7026980,012 7021311,Mabopane,JOSEPH SEHALE,RUSTENBURG,STAND NO 2035 BLCOK A BOEKENHOT
N/A,013-6336848,Masemola,Vacant,WITBANK,Stand No 2078 Masemola
013-2190001,013-2190001,Marishane,Vacant,WITBANK,Stand No 25 Marishane
013-2690065,013-2670065,Motetema,Michael Mkhabela,WITBANK,Stand No 585 Next to Police Station
012 2600982,012 2540602,Bethanie,MOSES MOUMAKWE,RUSTENBURG,STAND NO. 0561
012 2513544,012 2510534,Letlhabile,REBECCA MATSEKE,RUSTENBURG,STAND NO. 1070 BLOCK A
NONE,014 5548602,Monakato,EVA DIPODI,RUSTENBURG,STAND NO. 1931
012 7032470,012 7031000,Ga-Rankuwa,JACKY TLADI,RUSTENBURG,STAND NO. 9011 ZONE 1
047-5550009,047-5550039,LIBODE,M.MDODA,UMTATA,STANFORD ST
023-5511073,023-5511073,Laingsburg,J Lukas,SOUTH CAPE,Stasiestr 54 Laingsburg
057-3527977,057-3527977,PANSIG,LYDIA STOTER,BLOEMFONTEIN,STATEWAY WELKOM
0,083 3677 709,QAMATA,P.N. Mpengesi (Acting),EAST LONDON,"STATION STREET, QAMATA"
011-613-1907,011-6138814/5,SOUTH HILLS,EP Mthombeni,EAST VAAL,"STEELDALE PICK'NPAY CENTRE, LINROY STREET,STEELDALE"
013-7440116,013-7440120,Steiltes,Anneline Botha,NELSPRUIT,"Steiltes Shopping Centre, Nelspruit"
016- 986-3073,016- 9860238,HENBYL,N Mayosi,EAST VAAL,"STEPHENSON SPAR, STEPHENSON ST VANDERBIJLPARK 1911"
None,015-4530711,Stekrivier,Vacant,POTGIETERSRUS,Sterkrivier main road
053-3533370,053-3531202,PRIESKA,Abel Myburgh,UPINGTON,Stewart str.
051-5220882,051-5220882,FICHARDT PARK,DINA V.D WATT,BLOEMFONTEIN,STOLREITHER STREET FICHARDTPARK
021-948 3430,021-948 3678,Sanlamhof,Celia Mdlankomo,WEST COAST,STRAND RD BELLVILLE
011-815-6669,011-3622873,STRUBENVALE,H LIEBENBERG,EAST RAND,"STRUBENVALE PHARMACY CENTRE,C/O ERMELO & LARGO RD"
011-693-3932,011-4122887,RANDFONTEIN,Maria Mabena,SOUTH WEST RAND,STUBB ST 28 RANDFONTEIN 1760
011-918-7705,011-9187704,ATLASVILLE,T HLATSWAYO,EAST RAND,"SUMMERFIELD CENTRE, FINCH STR, ATLASVILLE"
014 5733744,014 57331456,Boshoek,ANTOINETTE MYBURGH,RUSTENBURG,SUN CITY ROAD
011-803-0697,011-8030697,SUNNINGHILL WEST,Maggie Mashinini,NORTH WEST RAND,"SUNHILL CENTRE, TANA ROAD, SUNNINGHILL"
021-559 2624,021-558 2200,Bothasig,Juna Stofberg,WEST COAST,TAFELBERG ST
014-7632564,014-7634589,Onverwacht,Vacant,POTGIETERSRUS,Tambotie Rylaan
013-6928015,013-6928003,Tasbet Park,Albert Sindane,WITBANK,Tasbet Pharmacy
015-2976247,015-2973772,PIETERSBURG NORTH,MANYUBELE,PIETERSBURG,"TAXI RANK, CHURCH STREET 101-104"
051-653 1780,051-653 1711,BURGERSDORP,Dwaba M D,MIDLANDS,"Taylor Street, Burgersdorp, 9744"
012-7175280,012-7173416,Temba,Solly Mmotsa,POTGIETERSRUS,Temba city complex
011-925-7363,011-9257362,TEMBISA SOUTH,S MASHITAS,EAST RAND,"TEMBISA PLAZA, ANDREW MAPHETO STR, TEMBISA"
011-920-1601,011-9201504/926,TEMBISA,D LEGOABE,EAST RAND,"TEMBISA SHOPPING MALL, 9 IGQAGQA SECTION, TEMBISA 1628"
011-469-4876,011-4694844,DAINFERN,Richard Matiya,NORTH WEST RAND,"THE FERN SHOPPING CENTRE, CEDAR ROAD, DAINFERN, 2055"
011-524-0117,011-5240116,DOWERGLEN,E DHLAMINI,EAST RAND,"THE GLEN CURVE SHOPPING CENTRE, ELM ROAD, DOWERGLEN"
013-7551672,013-7551672,The Village,Kabelo Mogakane,NELSPRUIT,"The Village Shopping Centre, Nelspruit"
014 5671353,014 5671364,Photsaneng,THABO LEPHUNYE,RUSTENBURG,THEKWANE SECTION
015-2280001,015-2280001,JUNO,MANAMELA MJ,PIETERSBURG,TIBANE FONTEIN VILLAGE
NONE,014 5500919,Mabeeskraal,SYLVIA MATLHAKO,RUSTENBURG,TLHAKONG VILLAGE
011-968-2425,011-9682425,CRYSTALPARK,Z WASSENAAR,EAST RAND,TOTIUS STREET CRYSTALPARK
011-855-1536,011-8551536,ENNERDALE,Padyache A,SOUTH WEST RAND,TOWN RD ENNERDALE EXT. 7 ENNERDALE 1826
012 7293328,012 7291005,Jericho,VACANT,RUSTENBURG,TRIBAL OFFICES
014 5661707,014 5561744,Saulspoort,JOHANNES MOANAKWENA,RUSTENBURG,TRIBAL OFFICES
015-3832071,015-3830018,TRICHARDTSDAL,KUDUMELAMH,PIETERSBURG,TRICHARDTSDAL SHOPPING CENTRE
042-2830258,042-2830258,PATENSIE,Klue V,PORT ELIZABETH,"Trompie Supermarket, Patensie"
015-293 0768,015-2931419,LADANNA,NDOBE,PIETERSBURG,TROPICANA CENTRE
058-7210024,058-7210024,Poelong,Samuel Mokoena,BETHLEHEM,"Tseki Comoplex, Poelong"
None,012-3384078,TSHWANE SOUTH,MJ Komane,PRETORIA,Tswane Mail Centre
014-7870104,014-7870101,Chromite,Vacant,POTGIETERSRUS,Tumela hostel
015-2670130,015-2670113,SOVENGA,MAMABOLO,PIETERSBURG,TURF LOOP SHOPPING CENTRE
013-2317855,013-2317914,Burgersfort,Sam Magagula,NELSPRUIT,Twin City Burgersfort Main Road
021-914 1324,021-914 1593,Tygervallei,Chris De Jager,WEST COAST,TYGERVALLEY SHOPPING CENTRE
015-3074092,015-3074080,TZANENG MALL,RATSATSI I J,PIETERSBURG,TZANENG MALL SHOPPING CENTRE
021-6897817,021-6855460,Rhodesgift (RPO),Jackie Scheepers,PENINSULA,"UCT, UPPER CAMPUS, RHODES GIFT, 7700"
031-9150035,031-9150035,UMBUMBULU,Ta Makhanya,HIGHWAY,Umbumbulu
047-4910149,047-4913970,BUTTERWORTH,C. Masiza (acting),EAST LONDON,UMTATA ROAD BUTTERWORTH
042-243 3137,042-243 1157 /,SOMERSET EAST,Feni M.A,MIDLANDS,"Unie Street, Somerset East, 5850"
016-596-1112,016- 5961112,MAFATSANA,DG Mbele,EAST VAAL,UNION ST EVATON 1981
012-4402744,012-4402059,UNISARAND,CW Meiring,PRETORIA,Unisa Campus Mucklenuk
018-392 1441,018-3843535,MMABATHO,VACANT,VRYBURG,UNIVERSITY DRIVE
,040-653 1515,FORT HARE,Nganjana C (Contract),MIDLANDS,"University, Fort Hare, 5701"
